Year,All Benefits Fraud,All Benefits Claimant Error,All Benefits Official Error,All Benefits Total,All Benefits Expenditure,Universal Credit Fraud,Universal Credit Claimant Error,Universal Credit Official Error,Universal Credit Total,Universal Credit Expenditure,State Pension Fraud,State Pension Claimant Error,State Pension Official Error,State Pension Total,State Pension Expenditure,Personal Independence Payment Fraud,Personal Independence Payment Claimant Error,Personal Independence Payment Official Error,Personal Independence Payment Total,Personal Independence Payment Expenditure,Housing Benefit Total Fraud,Housing Benefit Total Claimant Error,Housing Benefit Total Official Error,Housing Benefit Total Total,Housing Benefit Total Expenditure,Housing Benefit Working Age Fraud,Housing Benefit Working Age Claimant Error,Housing Benefit Working Age Official Error,Housing Benefit Working Age Total,Housing Benefit Working Age Expenditure,Housing Benefit Pension Age Fraud,Housing Benefit Pension Age Claimant Error,Housing Benefit Pension Age Official Error,Housing Benefit Pension Age Total,Housing Benefit Pension Age Expenditure,Pension Credit Fraud,Pension Credit Claimant Error,Pension Credit Official Error,Pension Credit Total,Pension Credit Expenditure,Carer's Allowance Fraud,Carer's Allowance Claimant Error,Carer's Allowance Official Error,Carer's Allowance Total,Carer's Allowance Expenditure,Employment and Support Allowance Fraud,Employment and Support Allowance Claimant Error,Employment and Support Allowance Official Error,Employment and Support Allowance Total,Employment and Support Allowance Expenditure,Attendance Allowance Fraud,Attendance Allowance Claimant Error,Attendance Allowance Official Error,Attendance Allowance Total,Attendance Allowance Expenditure,Disability Living Allowance Fraud,Disability Living Allowance Claimant Error,Disability Living Allowance Official Error,Disability Living Allowance Total,Disability Living Allowance Expenditure,Jobseeker's AllowanceFraud,Jobseeker's AllowanceClaimant Error,Jobseeker's AllowanceOfficial Error,Jobseeker's AllowanceTotal,Jobseeker's AllowanceExpenditure,Income Support TotalFraud,Income Support TotalClaimant Error,Income Support TotalOfficial Error,Income Support TotalTotal,Income Support TotalExpenditure,Income Support Disabled and Others Fraud,Income Support Disabled and Others Claimant Error,Income Support Disabled and Others Official Error,Income Support Disabled and Others Total,Income Support Disabled and Others Expenditure,Income Support Lone Parents Fraud,Income Support Lone Parents Claimant Error,Income Support Lone Parents Official Error,Income Support Lone Parents Total,Income Support Lone Parents Expenditure,Incapacity Benefit Fraud,Incapacity Benefit Claimant Error,Incapacity Benefit Official Error,Incapacity Benefit Total,Incapacity Benefit Expenditure,Interdependencies Fraud,Interdependencies Claimant Error,Interdependencies Official Error,Interdependencies Total,Interdependencies Expenditure,Unreviewed excluding Council Tax Benefit Fraud,Unreviewed excluding Council Tax Benefit Claimant Error,Unreviewed excluding Council Tax Benefit Official Error,Unreviewed excluding Council Tax Benefit Total,Unreviewed excluding Council Tax Benefit Expenditure,Council Tax BenefitFraud,Council Tax BenefitClaimant Error,Council Tax BenefitOfficial Error,Council Tax BenefitTotal,Council Tax BenefitExpenditure
2025,6500000000,1900000000,1000000000,9500000000,292200000000,5200000000,610000000,540000000,6350000000,65300000000,0,80000000,110000000,190000000,142000000000,100000000,190000000,40000000,330000000,25800000000,630000000,390000000,90000000,1100000000,15400000000,360000000,200000000,50000000,610000000,8500000000,270000000,190000000,30000000,490000000,6800000000,270000000,240000000,100000000,610000000,5900000000,100000000,40000000,20000000,160000000,4200000000,180000000,190000000,40000000,420000000,12300000000,0,150000000,20000000,170000000,7700000000,0,20000000,20000000,40000000,7600000000,10000000,0,0,10000000,300000000,10000000,0,0,10000000,300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,40000000,40000000,90000000,0,20000000,10000000,10000000,30000000,5400000000,0,0,0,0,0
2024,7300000000,1600000000,800000000,9700000000,266200000000,5620000000,410000000,390000000,6410000000,51900000000,80000000,70000000,20000000,170000000,123900000000,0,60000000,30000000,90000000,21600000000,570000000,330000000,80000000,980000000,15500000000,330000000,170000000,50000000,550000000,9400000000,240000000,170000000,30000000,440000000,6100000000,210000000,210000000,110000000,530000000,5400000000,110000000,80000000,10000000,190000000,3700000000,190000000,200000000,50000000,430000000,12700000000,0,130000000,20000000,150000000,6700000000,0,10000000,10000000,30000000,6800000000,10000000,0,0,10000000,300000000,20000000,10000000,0,20000000,600000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,30000000,40000000,80000000,0,470000000,50000000,50000000,570000000,17000000000,0,0,0,0,0
2023,6300000000,1400000000,700000000,8300000000,233800000000,4930000000,290000000,270000000,5500000000,43400000000,0,60000000,40000000,100000000,109700000000,40000000,140000000,20000000,200000000,17700000000,530000000,260000000,70000000,860000000,15000000000,380000000,150000000,50000000,580000000,9400000000,150000000,110000000,20000000,280000000,5600000000,120000000,160000000,60000000,330000000,4900000000,100,70,0,170,3300,180000000,190000000,40000000,410000000,12100000000,0,110000000,20000000,130000000,5700000000,30000000,40000000,50000000,110000000,6000000000,10000000,0,0,10000000,300000000,20000000,10000000,0,20000000,600000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,20000000,20000000,50000000,0,330000000,60000000,60000000,450000000,15000000000,0,0,0,0,0
2022,6500000000,1500000000,700000000,8700000000,215800000000,5250000000,400000000,270000000,5920000000,40400000000,20000000,60000000,50000000,130000000,104500000000,40000000,170000000,20000000,230000000,15100000000,550000000,260000000,70000000,880000000,16500000000,400000000,160000000,50000000,600000000,10600000000,150000000,110000000,20000000,280000000,5800000000,140000000,150000000,70000000,350000000,4800000000,90,60,0,160,3100,250000000,180000000,80000000,500000000,12600000000,0,100000000,20000000,120000000,5300000000,30000000,40000000,40000000,110000000,5700000000,10000000,0,10000000,20000000,500000000,20000000,10000000,0,30000000,900000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,10000000,20000000,40000000,0,110000000,30000000,20000000,160000000,6600000000,0,0,0,0,0
2021,6200000000,1300000000,800000000,8200000000,211700000000,4880000000,330000000,330000000,5540000000,38200000000,0,70000000,20000000,90000000,101200000000,40000000,150000000,20000000,210000000,13600000000,600000000,280000000,70000000,950000000,17300000000,460000000,170000000,50000000,680000000,11500000000,140000000,100000000,20000000,270000000,5800000000,120000000,80000000,70000000,270000000,5100000000,90,60,0,160,3100,210000000,160000000,140000000,520000000,13400000000,0,0,0,0,0,30000000,40000000,40000000,110000000,5800000000,30000000,0,10000000,50000000,1000000000,30000000,10000000,0,40000000,1100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,20000000,20000000,50000000,0,140000000,60000000,60000000,260000000,12100000000,0,0,0,0,0
2020,2700000000,1100000000,700000000,4500000000,191700000000,1390000000,90000000,250000000,1730000000,18400000000,0,70000000,30000000,100000000,98800000000,30000000,140000000,20000000,190000000,12500000000,690000000,310000000,80000000,1080000000,18300000000,540000000,210000000,60000000,810000000,12500000000,140000000,100000000,20000000,270000000,5800000000,120000000,80000000,70000000,270000000,5100000000,90,60,0,150,2900,220000000,170000000,140000000,520000000,13400000000,0,0,0,0,0,40000000,40000000,60000000,140000000,7200000000,20000000,0,10000000,30000000,700000000,30000000,10000000,10000000,50000000,1400000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,10000000,20000000,40000000,0,100000000,70000000,70000000,230000000,12900000000,0,0,0,0,0
2019,2100000000,1000000000,700000000,3900000000,183700000000,490000000,50000000,170000000,700000000,8100000000,0,80000000,10000000,90000000,96800000000,130000000,170000000,30000000,330000000,10600000000,820000000,350000000,130000000,1300000000,20800000000,690000000,260000000,100000000,1050000000,15000000000,130000000,90000000,30000000,250000000,5800000000,80000000,60000000,60000000,210000000,5100000000,110,30,20,160,2900,250000000,150000000,140000000,540000000,15300000000,0,0,0,0,0,40000000,50000000,60000000,150000000,8100000000,40000000,0,20000000,60000000,1300000000,40000000,20000000,10000000,70000000,1800000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,10000000,20000000,40000000,0,90000000,60000000,70000000,220000000,13000000000,0,0,0,0,0
2018,2200000000,1000000000,700000000,3800000000,177300000000,170000000,20000000,80000000,270000000,3300000000,0,80000000,10000000,90000000,93800000000,120000000,90000000,50000000,260000000,8200000000,990000000,400000000,90000000,1480000000,22300000000,850000000,320000000,60000000,1230000000,16200000000,150000000,80000000,30000000,250000000,6100000000,190000000,60000000,80000000,340000000,5500000000,110,30,20,160,2900,320000000,150000000,140000000,620000000,15000000000,0,0,0,0,0,50000000,60000000,70000000,180000000,9400000000,70000000,0,30000000,110000000,1700000000,50000000,20000000,10000000,90000000,2200000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,10000000,20000000,40000000,0,100000000,60000000,60000000,230000000,13100000000,0,0,0,0,0
2017,2000000000,900000000,700000000,3600000000,174000000000,50000000,0,30000000,90000000,1600000000,0,80000000,10000000,90000000,91600000000,70000000,60000000,30000000,160000000,5200000000,1060000000,330000000,110000000,1510000000,23400000000,890000000,230000000,70000000,1190000000,17100000000,170000000,100000000,40000000,320000000,6300000000,120000000,80000000,80000000,280000000,5800000000,100,30,20,150,2700,300000000,120000000,170000000,590000000,15000000000,0,0,0,0,0,60000000,70000000,90000000,220000000,11600000000,100000000,0,20000000,120000000,1900000000,60000000,30000000,10000000,90000000,2400000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,10000000,20000000,40000000,0,100000000,60000000,70000000,230000000,12800000000,0,0,0,0,0
2016,1900000000,900000000,500000000,3300000000,172300000000,13000000,0,6000000,19000000,490000000,0,70000000,10000000,90000000,89400000000,0,0,0,0,0,1000000000,380000000,70000000,1460000000,24200000000,890000000,330000000,60000000,1280000000,17700000000,110000000,60000000,10000000,180000000,6500000000,160000000,90000000,80000000,330000000,6200000000,100,30,10,140,2600,270000000,80000000,100000000,450000000,14500000000,0,0,0,0,0,60000000,80000000,100000000,250000000,13300000000,70000000,0,30000000,100000000,2300000000,60000000,30000000,10000000,100000000,2700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000,10000000,10000000,10000000,30000000,0,110000000,80000000,90000000,280000000,16500000000,0,0,0,0,0
2015,1300000000,1100000000,700000000,3000000000,168100000000,0,0,0,0,0,0,70000000,30000000,100000000,86600000000,0,0,0,0,0,590000000,550000000,140000000,1280000000,24300000000,550000000,460000000,100000000,1110000000,17700000000,40000000,90000000,40000000,170000000,6600000000,120000000,90000000,100000000,310000000,6700000000,90,20,10,130,2300,160000000,100000000,110000000,370000000,12800000000,0,0,0,0,0,70000000,90000000,110000000,260000000,13800000000,100000000,10000000,50000000,160000000,3100000000,70000000,30000000,10000000,120000000,3000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,300000000,10000000,10000000,10000000,30000000,0,90000000,80000000,80000000,250000000,15100000000,0,0,0,0,0
2014,1200000000,1500000000,700000000,3400000000,164000000000,0,0,0,0,0,0,70000000,70000000,140000000,83100000000,0,0,0,0,0,430000000,900000000,120000000,1450000000,24200000000,380000000,800000000,70000000,1240000000,17600000000,50000000,110000000,50000000,210000000,6500000000,150000000,150000000,130000000,430000000,7200000000,80,20,10,120,2100,130000000,80000000,100000000,310000000,10500000000,0,0,0,0,0,70000000,90000000,110000000,260000000,13800000000,110000000,20000000,40000000,170000000,4400000000,100000000,50000000,20000000,170000000,3700000000,30000000,30000000,10000000,70000000,1800000000,50000000,20000000,10000000,80000000,1900000000,0,10000000,10000000,30000000,1200000000,10000000,10000000,20000000,40000000,0,90000000,80000000,80000000,250000000,13800000000,0,0,0,0,0
2013,1200000000,1600000000,800000000,3500000000,166600000000,0,0,0,0,0,0,70000000,20000000,90000000,79800000000,0,0,0,0,0,320000000,780000000,120000000,1220000000,23700000000,280000000,680000000,70000000,1030000000,0,30000000,100000000,50000000,180000000,0,170000000,170000000,150000000,490000000,7600000000,80,20,10,110,2000,0,0,0,0,0,0,0,0,0,0,70000000,80000000,100000000,250000000,13500000000,150000000,30000000,40000000,210000000,5200000000,130000000,70000000,40000000,230000000,5500000000,80000000,60000000,30000000,160000000,3500000000,50000000,20000000,10000000,80000000,2000000000,10000000,30000000,40000000,80000000,3300000000,10000000,20000000,20000000,50000000,0,190000000,180000000,180000000,550000000,21000000000,60000000,140000000,30000000,230000000,4900000000
2012,1200000000,1400000000,800000000,3400000000,159200000000,0,0,0,0,0,0,60000000,60000000,120000000,74200000000,0,0,0,0,0,350000000,650000000,130000000,1130000000,22800000000,300000000,560000000,90000000,950000000,0,50000000,90000000,40000000,180000000,0,140000000,150000000,170000000,460000000,8200000000,70,20,10,100,1800,0,0,0,0,0,0,0,0,0,0,60000000,80000000,100000000,240000000,12600000000,150000000,30000000,50000000,230000000,5000000000,180000000,80000000,50000000,310000000,7200000000,100000000,60000000,40000000,200000000,4700000000,80000000,20000000,10000000,120000000,2500000000,10000000,40000000,60000000,120000000,5000000000,10000000,20000000,20000000,50000000,0,150000000,120000000,120000000,390000000,17600000000,70000000,120000000,30000000,220000000,4900000000
2011,1200000000,1300000000,800000000,3200000000,153400000000,0,0,0,0,0,0,60000000,30000000,90000000,69800000000,0,0,0,0,0,300000000,590000000,90000000,980000000,21400000000,250000000,500000000,60000000,800000000,0,50000000,90000000,30000000,180000000,0,140000000,170000000,160000000,470000000,8300000000,60,20,10,90,1600,0,0,0,0,0,0,0,0,0,0,60000000,70000000,90000000,220000000,12000000000,150000000,20000000,100000000,270000000,4500000000,220000000,80000000,50000000,350000000,7900000000,120000000,50000000,50000000,220000000,5400000000,100000000,20000000,10000000,130000000,2500000000,20000000,50000000,70000000,130000000,5600000000,10000000,10000000,20000000,40000000,0,150000000,100000000,130000000,380000000,17300000000,60000000,120000000,20000000,210000000,4900000000
2010,1100000000,1200000000,1000000000,3300000000,148000000000,0,0,0,0,0,0,60000000,40000000,90000000,66900000000,0,0,0,0,0,250000000,560000000,140000000,950000000,20000000000,220000000,490000000,90000000,800000000,0,30000000,80000000,40000000,150000000,0,150000000,140000000,190000000,480000000,8200000000,60,20,10,80,1500,0,0,0,0,0,0,0,0,0,0,60000000,70000000,90000000,220000000,11500000000,170000000,20000000,80000000,270000000,4800000000,210000000,130000000,120000000,460000000,8500000000,110000000,90000000,90000000,290000000,5700000000,100000000,40000000,30000000,170000000,2800000000,30000000,40000000,100000000,170000000,6200000000,10000000,10000000,20000000,40000000,0,130000000,90000000,130000000,350000000,15700000000,50000000,110000000,30000000,200000000,4700000000
2009,1000000000,1100000000,800000000,2900000000,135700000000,0,0,0,0,0,0,50000000,30000000,80000000,61600000000,0,0,0,0,0,250000000,470000000,100000000,810000000,17100000000,220000000,400000000,80000000,690000000,0,30000000,70000000,20000000,120000000,0,110000000,120000000,160000000,390000000,7800000000,50,10,10,80,1400,0,0,0,0,0,0,0,0,0,0,50000000,70000000,80000000,200000000,10600000000,80000000,10000000,70000000,160000000,2900000000,250000000,110000000,130000000,480000000,8800000000,100000000,80000000,90000000,270000000,5700000000,150000000,30000000,30000000,210000000,3100000000,70000000,40000000,120000000,220000000,6600000000,10000000,10000000,20000000,40000000,0,110000000,70000000,110000000,290000000,14700000000,50000000,100000000,20000000,170000000,4200000000
2008,800000000,800000000,900000000,2600000000,125900000000,0,0,0,0,0,0,50000000,40000000,90000000,57600000000,0,0,0,0,0,190000000,340000000,200000000,720000000,15800000000,170000000,280000000,150000000,590000000,0,30000000,60000000,40000000,130000000,0,80000000,110000000,200000000,380000000,7500000000,50,10,10,70,1300,0,0,0,0,0,0,0,0,0,0,50000000,60000000,80000000,190000000,9900000000,60000000,10000000,30000000,90000000,2200000000,220000000,110000000,120000000,450000000,8900000000,110000000,80000000,100000000,290000000,5600000000,110000000,30000000,20000000,160000000,3300000000,10000000,20000000,110000000,140000000,6700000000,10000000,10000000,20000000,40000000,0,80000000,50000000,80000000,210000000,12000000000,40000000,80000000,50000000,160000000,4000000000
2007,800000000,900000000,900000000,2600000000,119800000000,0,0,0,0,0,0,40000000,60000000,110000000,53700000000,0,0,0,0,0,100000000,450000000,210000000,750000000,14900000000,90000000,360000000,160000000,620000000,0,10000000,80000000,40000000,130000000,0,130000000,90000000,150000000,370000000,7000000000,50,10,10,70,1200,0,0,0,0,0,0,0,0,0,0,40000000,60000000,70000000,170000000,9200000000,60000000,10000000,50000000,120000000,2400000000,240000000,110000000,130000000,470000000,9000000000,130000000,60000000,80000000,270000000,5400000000,110000000,50000000,40000000,200000000,3600000000,10000000,20000000,90000000,110000000,6700000000,10000000,10000000,20000000,40000000,0,70000000,50000000,80000000,210000000,11700000000,20000000,100000000,50000000,180000000,3900000000
2006,600000000,1000000000,900000000,2500000000,116300000000,0,0,0,0,0,0,40000000,30000000,80000000,51400000000,0,0,0,0,0,140000000,440000000,190000000,760000000,13900000000,130000000,350000000,160000000,630000000,0,10000000,90000000,30000000,130000000,0,50000000,100000000,160000000,310000000,6500000000,40,10,10,60,1200,0,0,0,0,0,0,0,0,0,0,40000000,50000000,70000000,160000000,8700000000,30000000,10000000,40000000,90000000,2300000000,200000000,140000000,140000000,480000000,9400000000,100000000,90000000,100000000,290000000,5500000000,110000000,50000000,40000000,190000000,4000000000,10000000,20000000,90000000,120000000,6700000000,10000000,10000000,10000000,30000000,0,60000000,50000000,80000000,190000000,12500000000,40000000,110000000,50000000,190000000,3800000000
